,REF_DATE,GEO,Sex,Age group,Income source,Statistics,SCALAR_FACTOR,VALUE
1176454,2007,Newfoundland and Labrador,Females,35 to 44 years,Total income,Median income (excluding zeros),units,26400.0
1176529,2007,Newfoundland and Labrador,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,36800.0
1176604,2007,Newfoundland and Labrador,Males,45 to 54 years,Total income,Median income (excluding zeros),units,49100.0
1176679,2007,Newfoundland and Labrador,Females,45 to 54 years,Total income,Median income (excluding zeros),units,26300.0
1176754,2007,Newfoundland and Labrador,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,29600.0
1176829,2007,Newfoundland and Labrador,Males,55 to 64 years,Total income,Median income (excluding zeros),units,41100.0
1176904,2007,Newfoundland and Labrador,Females,55 to 64 years,Total income,Median income (excluding zeros),units,21000.0
1176979,2007,Newfoundland and Labrador,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,21100.0
1177054,2007,Newfoundland and Labrador,Males,65 years and over,Total income,Median income (excluding zeros),units,24000.0
1177129,2007,Newfoundland and Labrador,Females,65 years and over,Total income,Median income (excluding zeros),units,19000.0
1177204,2007,Prince Edward Island,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,29600.0
1177279,2007,Prince Edward Island,Males,16 years and over,Total income,Median income (excluding zeros),units,33800.0
1177354,2007,Prince Edward Island,Females,16 years and over,Total income,Median income (excluding zeros),units,24900.0
1177429,2007,Prince Edward Island,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,10000.0
1177504,2007,Prince Edward Island,Males,16 to 24 years,Total income,Median income (excluding zeros),units,12400.0
1177579,2007,Prince Edward Island,Females,16 to 24 years,Total income,Median income (excluding zeros),units,9600.0
1177654,2007,Prince Edward Island,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,37500.0
1177729,2007,Prince Edward Island,Males,25 to 54 years,Total income,Median income (excluding zeros),units,40600.0
1177804,2007,Prince Edward Island,Females,25 to 54 years,Total income,Median income (excluding zeros),units,34400.0
1177879,2007,Prince Edward Island,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,33700.0
1177954,2007,Prince Edward Island,Males,25 to 34 years,Total income,Median income (excluding zeros),units,36500.0
1178029,2007,Prince Edward Island,Females,25 to 34 years,Total income,Median income (excluding zeros),units,29300.0
1178104,2007,Prince Edward Island,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,40400.0
1178179,2007,Prince Edward Island,Males,35 to 44 years,Total income,Median income (excluding zeros),units,42300.0
1178254,2007,Prince Edward Island,Females,35 to 44 years,Total income,Median income (excluding zeros),units,38800.0
1178329,2007,Prince Edward Island,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,37900.0
1178404,2007,Prince Edward Island,Males,45 to 54 years,Total income,Median income (excluding zeros),units,44400.0
1178479,2007,Prince Edward Island,Females,45 to 54 years,Total income,Median income (excluding zeros),units,33000.0
1178554,2007,Prince Edward Island,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,31500.0
1178629,2007,Prince Edward Island,Males,55 to 64 years,Total income,Median income (excluding zeros),units,38100.0
1178704,2007,Prince Edward Island,Females,55 to 64 years,Total income,Median income (excluding zeros),units,26100.0
1178779,2007,Prince Edward Island,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,22100.0
1178854,2007,Prince Edward Island,Males,65 years and over,Total income,Median income (excluding zeros),units,29200.0
1178929,2007,Prince Edward Island,Females,65 years and over,Total income,Median income (excluding zeros),units,18800.0
1179004,2007,Nova Scotia,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,30100.0
1179079,2007,Nova Scotia,Males,16 years and over,Total income,Median income (excluding zeros),units,38700.0
1179154,2007,Nova Scotia,Females,16 years and over,Total income,Median income (excluding zeros),units,23800.0
1179229,2007,Nova Scotia,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,10400.0
1179304,2007,Nova Scotia,Males,16 to 24 years,Total income,Median income (excluding zeros),units,12700.0
1179379,2007,Nova Scotia,Females,16 to 24 years,Total income,Median income (excluding zeros),units,8800.0
1179454,2007,Nova Scotia,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,39100.0
1179529,2007,Nova Scotia,Males,25 to 54 years,Total income,Median income (excluding zeros),units,49500.0
1179604,2007,Nova Scotia,Females,25 to 54 years,Total income,Median income (excluding zeros),units,32100.0
1179679,2007,Nova Scotia,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,32900.0
1179754,2007,Nova Scotia,Males,25 to 34 years,Total income,Median income (excluding zeros),units,39400.0
1179829,2007,Nova Scotia,Females,25 to 34 years,Total income,Median income (excluding zeros),units,28100.0
1179904,2007,Nova Scotia,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,42700.0
1179979,2007,Nova Scotia,Males,35 to 44 years,Total income,Median income (excluding zeros),units,53800.0
1180054,2007,Nova Scotia,Females,35 to 44 years,Total income,Median income (excluding zeros),units,32400.0
1180129,2007,Nova Scotia,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,42000.0
1180204,2007,Nova Scotia,Males,45 to 54 years,Total income,Median income (excluding zeros),units,52900.0
1180279,2007,Nova Scotia,Females,45 to 54 years,Total income,Median income (excluding zeros),units,34200.0
1180354,2007,Nova Scotia,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,32600.0
1180429,2007,Nova Scotia,Males,55 to 64 years,Total income,Median income (excluding zeros),units,41900.0
1180504,2007,Nova Scotia,Females,55 to 64 years,Total income,Median income (excluding zeros),units,22300.0
1180579,2007,Nova Scotia,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,24500.0
1180654,2007,Nova Scotia,Males,65 years and over,Total income,Median income (excluding zeros),units,31400.0
1180729,2007,Nova Scotia,Females,65 years and over,Total income,Median income (excluding zeros),units,20700.0
1180804,2007,New Brunswick,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,28900.0
1180879,2007,New Brunswick,Males,16 years and over,Total income,Median income (excluding zeros),units,36700.0
1180954,2007,New Brunswick,Females,16 years and over,Total income,Median income (excluding zeros),units,22500.0
1181029,2007,New Brunswick,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,11600.0
1181104,2007,New Brunswick,Males,16 to 24 years,Total income,Median income (excluding zeros),units,13600.0
1181179,2007,New Brunswick,Females,16 to 24 years,Total income,Median income (excluding zeros),units,10700.0
1181254,2007,New Brunswick,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,37300.0
1181329,2007,New Brunswick,Males,25 to 54 years,Total income,Median income (excluding zeros),units,43800.0
1181404,2007,New Brunswick,Females,25 to 54 years,Total income,Median income (excluding zeros),units,31700.0
1181479,2007,New Brunswick,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,36500.0
1181554,2007,New Brunswick,Males,25 to 34 years,Total income,Median income (excluding zeros),units,42200.0
1181629,2007,New Brunswick,Females,25 to 34 years,Total income,Median income (excluding zeros),units,32400.0
1181704,2007,New Brunswick,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,39600.0
1181779,2007,New Brunswick,Males,35 to 44 years,Total income,Median income (excluding zeros),units,45500.0
1181854,2007,New Brunswick,Females,35 to 44 years,Total income,Median income (excluding zeros),units,32700.0
1181929,2007,New Brunswick,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,36900.0
1182004,2007,New Brunswick,Males,45 to 54 years,Total income,Median income (excluding zeros),units,44000.0
1182079,2007,New Brunswick,Females,45 to 54 years,Total income,Median income (excluding zeros),units,30100.0
1182154,2007,New Brunswick,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,29700.0
1182229,2007,New Brunswick,Males,55 to 64 years,Total income,Median income (excluding zeros),units,40400.0
1182304,2007,New Brunswick,Females,55 to 64 years,Total income,Median income (excluding zeros),units,20100.0
1182379,2007,New Brunswick,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,22300.0
1182454,2007,New Brunswick,Males,65 years and over,Total income,Median income (excluding zeros),units,30800.0
1182529,2007,New Brunswick,Females,65 years and over,Total income,Median income (excluding zeros),units,19500.0
1182604,2007,Quebec,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,30800.0
1182679,2007,Quebec,Males,16 years and over,Total income,Median income (excluding zeros),units,37200.0
1182754,2007,Quebec,Females,16 years and over,Total income,Median income (excluding zeros),units,25100.0
1182829,2007,Quebec,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,12200.0
1182904,2007,Quebec,Males,16 to 24 years,Total income,Median income (excluding zeros),units,12800.0
1182979,2007,Quebec,Females,16 to 24 years,Total income,Median income (excluding zeros),units,11900.0
1183054,2007,Quebec,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,40100.0
1183129,2007,Quebec,Males,25 to 54 years,Total income,Median income (excluding zeros),units,45100.0
1183204,2007,Quebec,Females,25 to 54 years,Total income,Median income (excluding zeros),units,35700.0
1183279,2007,Quebec,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,36900.0
1183354,2007,Quebec,Males,25 to 34 years,Total income,Median income (excluding zeros),units,38400.0
1183429,2007,Quebec,Females,25 to 34 years,Total income,Median income (excluding zeros),units,34700.0
1183504,2007,Quebec,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,42300.0
1183579,2007,Quebec,Males,35 to 44 years,Total income,Median income (excluding zeros),units,47200.0
1183654,2007,Quebec,Females,35 to 44 years,Total income,Median income (excluding zeros),units,38000.0
1183729,2007,Quebec,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,43100.0
1183804,2007,Quebec,Males,45 to 54 years,Total income,Median income (excluding zeros),units,50300.0
1183879,2007,Quebec,Females,45 to 54 years,Total income,Median income (excluding zeros),units,35200.0
1183954,2007,Quebec,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,33200.0
1184029,2007,Quebec,Males,55 to 64 years,Total income,Median income (excluding zeros),units,43500.0
1184104,2007,Quebec,Females,55 to 64 years,Total income,Median income (excluding zeros),units,23400.0
1184179,2007,Quebec,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,23100.0
1184254,2007,Quebec,Males,65 years and over,Total income,Median income (excluding zeros),units,27700.0
1184329,2007,Quebec,Females,65 years and over,Total income,Median income (excluding zeros),units,20100.0
1184404,2007,Ontario,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,33100.0
1184479,2007,Ontario,Males,16 years and over,Total income,Median income (excluding zeros),units,41900.0
1184554,2007,Ontario,Females,16 years and over,Total income,Median income (excluding zeros),units,25900.0
1184629,2007,Ontario,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,10400.0
1184704,2007,Ontario,Males,16 to 24 years,Total income,Median income (excluding zeros),units,10300.0
1184779,2007,Ontario,Females,16 to 24 years,Total income,Median income (excluding zeros),units,10600.0
1184854,2007,Ontario,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,43200.0
1184929,2007,Ontario,Males,25 to 54 years,Total income,Median income (excluding zeros),units,52100.0
1185004,2007,Ontario,Females,25 to 54 years,Total income,Median income (excluding zeros),units,35300.0
1185079,2007,Ontario,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,37700.0
1185154,2007,Ontario,Males,25 to 34 years,Total income,Median income (excluding zeros),units,43500.0
1185229,2007,Ontario,Females,25 to 34 years,Total income,Median income (excluding zeros),units,33700.0
1185304,2007,Ontario,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,45000.0
1185379,2007,Ontario,Males,35 to 44 years,Total income,Median income (excluding zeros),units,57700.0
1185454,2007,Ontario,Females,35 to 44 years,Total income,Median income (excluding zeros),units,35800.0
1185529,2007,Ontario,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,46300.0
1185604,2007,Ontario,Males,45 to 54 years,Total income,Median income (excluding zeros),units,58600.0
1185679,2007,Ontario,Females,45 to 54 years,Total income,Median income (excluding zeros),units,35900.0
1185754,2007,Ontario,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,40400.0
1185829,2007,Ontario,Males,55 to 64 years,Total income,Median income (excluding zeros),units,52000.0
1185904,2007,Ontario,Females,55 to 64 years,Total income,Median income (excluding zeros),units,28500.0
1185979,2007,Ontario,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,29000.0
1186054,2007,Ontario,Males,65 years and over,Total income,Median income (excluding zeros),units,37400.0
1186129,2007,Ontario,Females,65 years and over,Total income,Median income (excluding zeros),units,23700.0
1186204,2007,Prairie provinces,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,36200.0
1186279,2007,Prairie provinces,Males,16 years and over,Total income,Median income (excluding zeros),units,47500.0
1186354,2007,Prairie provinces,Females,16 years and over,Total income,Median income (excluding zeros),units,27900.0
1186429,2007,Prairie provinces,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,13900.0
1186504,2007,Prairie provinces,Males,16 to 24 years,Total income,Median income (excluding zeros),units,14500.0
1186579,2007,Prairie provinces,Females,16 to 24 years,Total income,Median income (excluding zeros),units,13400.0
1186654,2007,Prairie provinces,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,47900.0
1186729,2007,Prairie provinces,Males,25 to 54 years,Total income,Median income (excluding zeros),units,61700.0
1186804,2007,Prairie provinces,Females,25 to 54 years,Total income,Median income (excluding zeros),units,37400.0
1186879,2007,Prairie provinces,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,41700.0
1186954,2007,Prairie provinces,Males,25 to 34 years,Total income,Median income (excluding zeros),units,52400.0
1187029,2007,Prairie provinces,Females,25 to 34 years,Total income,Median income (excluding zeros),units,32200.0
1187104,2007,Prairie provinces,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,50000.0
1187179,2007,Prairie provinces,Males,35 to 44 years,Total income,Median income (excluding zeros),units,66100.0
1187254,2007,Prairie provinces,Females,35 to 44 years,Total income,Median income (excluding zeros),units,38000.0
1187329,2007,Prairie provinces,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,52500.0
1187404,2007,Prairie provinces,Males,45 to 54 years,Total income,Median income (excluding zeros),units,69000.0
1187479,2007,Prairie provinces,Females,45 to 54 years,Total income,Median income (excluding zeros),units,41100.0
1187554,2007,Prairie provinces,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,37700.0
1187629,2007,Prairie provinces,Males,55 to 64 years,Total income,Median income (excluding zeros),units,49300.0
1187704,2007,Prairie provinces,Females,55 to 64 years,Total income,Median income (excluding zeros),units,28400.0
1187779,2007,Prairie provinces,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,26300.0
1187854,2007,Prairie provinces,Males,65 years and over,Total income,Median income (excluding zeros),units,32300.0
1187929,2007,Prairie provinces,Females,65 years and over,Total income,Median income (excluding zeros),units,24400.0
1188004,2007,Manitoba,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,31500.0
1188079,2007,Manitoba,Males,16 years and over,Total income,Median income (excluding zeros),units,39900.0
1188154,2007,Manitoba,Females,16 years and over,Total income,Median income (excluding zeros),units,25600.0
1188229,2007,Manitoba,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,12800.0
1188304,2007,Manitoba,Males,16 to 24 years,Total income,Median income (excluding zeros),units,13300.0
1188379,2007,Manitoba,Females,16 to 24 years,Total income,Median income (excluding zeros),units,12500.0
1188454,2007,Manitoba,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,41200.0
1188529,2007,Manitoba,Males,25 to 54 years,Total income,Median income (excluding zeros),units,48000.0
1188604,2007,Manitoba,Females,25 to 54 years,Total income,Median income (excluding zeros),units,33600.0
1188679,2007,Manitoba,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,34500.0
1188754,2007,Manitoba,Males,25 to 34 years,Total income,Median income (excluding zeros),units,41800.0
1188829,2007,Manitoba,Females,25 to 34 years,Total income,Median income (excluding zeros),units,30000.0
1188904,2007,Manitoba,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,42100.0
1188979,2007,Manitoba,Males,35 to 44 years,Total income,Median income (excluding zeros),units,50300.0
1189054,2007,Manitoba,Females,35 to 44 years,Total income,Median income (excluding zeros),units,34100.0
1189129,2007,Manitoba,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,44600.0
1189204,2007,Manitoba,Males,45 to 54 years,Total income,Median income (excluding zeros),units,54400.0
1189279,2007,Manitoba,Females,45 to 54 years,Total income,Median income (excluding zeros),units,39600.0
1189354,2007,Manitoba,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,34400.0
1189429,2007,Manitoba,Males,55 to 64 years,Total income,Median income (excluding zeros),units,46100.0
1189504,2007,Manitoba,Females,55 to 64 years,Total income,Median income (excluding zeros),units,24700.0
1189579,2007,Manitoba,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,25100.0
1189654,2007,Manitoba,Males,65 years and over,Total income,Median income (excluding zeros),units,34200.0
1189729,2007,Manitoba,Females,65 years and over,Total income,Median income (excluding zeros),units,22200.0
1189804,2007,Saskatchewan,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,31900.0
1189879,2007,Saskatchewan,Males,16 years and over,Total income,Median income (excluding zeros),units,40300.0
1189954,2007,Saskatchewan,Females,16 years and over,Total income,Median income (excluding zeros),units,26600.0
1190029,2007,Saskatchewan,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,12500.0
1190104,2007,Saskatchewan,Males,16 to 24 years,Total income,Median income (excluding zeros),units,12900.0
1190179,2007,Saskatchewan,Females,16 to 24 years,Total income,Median income (excluding zeros),units,12400.0
1190254,2007,Saskatchewan,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,41600.0
1190329,2007,Saskatchewan,Males,25 to 54 years,Total income,Median income (excluding zeros),units,52700.0
1190404,2007,Saskatchewan,Females,25 to 54 years,Total income,Median income (excluding zeros),units,33200.0
1190479,2007,Saskatchewan,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,35900.0
1190554,2007,Saskatchewan,Males,25 to 34 years,Total income,Median income (excluding zeros),units,45800.0
1190629,2007,Saskatchewan,Females,25 to 34 years,Total income,Median income (excluding zeros),units,28400.0
1190704,2007,Saskatchewan,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,44300.0
1190779,2007,Saskatchewan,Males,35 to 44 years,Total income,Median income (excluding zeros),units,54500.0
1190854,2007,Saskatchewan,Females,35 to 44 years,Total income,Median income (excluding zeros),units,38100.0
1190929,2007,Saskatchewan,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,43900.0
1191004,2007,Saskatchewan,Males,45 to 54 years,Total income,Median income (excluding zeros),units,56300.0
1191079,2007,Saskatchewan,Females,45 to 54 years,Total income,Median income (excluding zeros),units,36000.0
1191154,2007,Saskatchewan,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,36600.0
1191229,2007,Saskatchewan,Males,55 to 64 years,Total income,Median income (excluding zeros),units,50500.0
1191304,2007,Saskatchewan,Females,55 to 64 years,Total income,Median income (excluding zeros),units,28100.0
1191379,2007,Saskatchewan,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,27200.0
1191454,2007,Saskatchewan,Males,65 years and over,Total income,Median income (excluding zeros),units,31800.0
1191529,2007,Saskatchewan,Females,65 years and over,Total income,Median income (excluding zeros),units,23300.0
1191604,2007,Alberta,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,39200.0
1191679,2007,Alberta,Males,16 years and over,Total income,Median income (excluding zeros),units,53500.0
1191754,2007,Alberta,Females,16 years and over,Total income,Median income (excluding zeros),units,29100.0
1191829,2007,Alberta,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,14500.0
1191904,2007,Alberta,Males,16 to 24 years,Total income,Median income (excluding zeros),units,15700.0
1191979,2007,Alberta,Females,16 to 24 years,Total income,Median income (excluding zeros),units,13900.0
1192054,2007,Alberta,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,52300.0
1192129,2007,Alberta,Males,25 to 54 years,Total income,Median income (excluding zeros),units,67900.0
1192204,2007,Alberta,Females,25 to 54 years,Total income,Median income (excluding zeros),units,39900.0
1192279,2007,Alberta,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,45600.0
1192354,2007,Alberta,Males,25 to 34 years,Total income,Median income (excluding zeros),units,56400.0
1192429,2007,Alberta,Females,25 to 34 years,Total income,Median income (excluding zeros),units,35500.0
1192504,2007,Alberta,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,55600.0
1192579,2007,Alberta,Males,35 to 44 years,Total income,Median income (excluding zeros),units,71800.0
1192654,2007,Alberta,Females,35 to 44 years,Total income,Median income (excluding zeros),units,39800.0
1192729,2007,Alberta,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,57900.0
1192804,2007,Alberta,Males,45 to 54 years,Total income,Median income (excluding zeros),units,77600.0
1192879,2007,Alberta,Females,45 to 54 years,Total income,Median income (excluding zeros),units,43800.0
1192954,2007,Alberta,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,39800.0
1193029,2007,Alberta,Males,55 to 64 years,Total income,Median income (excluding zeros),units,51900.0
1193104,2007,Alberta,Females,55 to 64 years,Total income,Median income (excluding zeros),units,30600.0
1193179,2007,Alberta,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,26600.0
1193254,2007,Alberta,Males,65 years and over,Total income,Median income (excluding zeros),units,31800.0
1193329,2007,Alberta,Females,65 years and over,Total income,Median income (excluding zeros),units,25100.0
1193404,2007,British Columbia,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,32300.0
1193479,2007,British Columbia,Males,16 years and over,Total income,Median income (excluding zeros),units,40900.0
1193554,2007,British Columbia,Females,16 years and over,Total income,Median income (excluding zeros),units,26200.0
1193629,2007,British Columbia,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,12400.0
1193704,2007,British Columbia,Males,16 to 24 years,Total income,Median income (excluding zeros),units,12000.0
1193779,2007,British Columbia,Females,16 to 24 years,Total income,Median income (excluding zeros),units,12900.0
1193854,2007,British Columbia,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,41200.0
1193929,2007,British Columbia,Males,25 to 54 years,Total income,Median income (excluding zeros),units,50900.0
1194004,2007,British Columbia,Females,25 to 54 years,Total income,Median income (excluding zeros),units,33900.0
1194079,2007,British Columbia,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,33900.0
1194154,2007,British Columbia,Males,25 to 34 years,Total income,Median income (excluding zeros),units,38000.0
1194229,2007,British Columbia,Females,25 to 34 years,Total income,Median income (excluding zeros),units,31100.0
1194304,2007,British Columbia,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,45900.0
1194379,2007,British Columbia,Males,35 to 44 years,Total income,Median income (excluding zeros),units,56000.0
1194454,2007,British Columbia,Females,35 to 44 years,Total income,Median income (excluding zeros),units,38400.0
1194529,2007,British Columbia,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,44200.0
1194604,2007,British Columbia,Males,45 to 54 years,Total income,Median income (excluding zeros),units,60700.0
1194679,2007,British Columbia,Females,45 to 54 years,Total income,Median income (excluding zeros),units,33500.0
1194754,2007,British Columbia,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,37600.0
1194829,2007,British Columbia,Males,55 to 64 years,Total income,Median income (excluding zeros),units,51000.0
1194904,2007,British Columbia,Females,55 to 64 years,Total income,Median income (excluding zeros),units,25700.0
1194979,2007,British Columbia,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,26700.0
1195054,2007,British Columbia,Males,65 years and over,Total income,Median income (excluding zeros),units,36400.0
1195129,2007,British Columbia,Females,65 years and over,Total income,Median income (excluding zeros),units,22400.0
1195204,2007,"Québec, Quebec",Both sexes,16 years and over,Total income,Median income (excluding zeros),units,35800.0
1195279,2007,"Québec, Quebec",Males,16 years and over,Total income,Median income (excluding zeros),units,39500.0
1195354,2007,"Québec, Quebec",Females,16 years and over,Total income,Median income (excluding zeros),units,29600.0
1195429,2007,"Québec, Quebec",Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,11900.0
1195504,2007,"Québec, Quebec",Males,16 to 24 years,Total income,Median income (excluding zeros),units,14700.0
1195579,2007,"Québec, Quebec",Females,16 to 24 years,Total income,Median income (excluding zeros),units,10600.0
1195654,2007,"Québec, Quebec",Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,45600.0
1195729,2007,"Québec, Quebec",Males,25 to 54 years,Total income,Median income (excluding zeros),units,48000.0
1195804,2007,"Québec, Quebec",Females,25 to 54 years,Total income,Median income (excluding zeros),units,43600.0
1195879,2007,"Québec, Quebec",Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,40000.0
1195954,2007,"Québec, Quebec",Males,25 to 34 years,Total income,Median income (excluding zeros),units,44700.0
1196029,2007,"Québec, Quebec",Females,25 to 34 years,Total income,Median income (excluding zeros),units,38000.0
1196104,2007,"Québec, Quebec",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,43600.0
1196179,2007,"Québec, Quebec",Males,35 to 44 years,Total income,Median income (excluding zeros),units,43400.0
1196254,2007,"Québec, Quebec",Females,35 to 44 years,Total income,Median income (excluding zeros),units,43600.0
1196329,2007,"Québec, Quebec",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,53900.0
1196404,2007,"Québec, Quebec",Males,45 to 54 years,Total income,Median income (excluding zeros),units,57500.0
1196479,2007,"Québec, Quebec",Females,45 to 54 years,Total income,Median income (excluding zeros),units,52800.0
1196554,2007,"Québec, Quebec",Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,37300.0
1196629,2007,"Québec, Quebec",Males,55 to 64 years,Total income,Median income (excluding zeros),units,48300.0
1196704,2007,"Québec, Quebec",Females,55 to 64 years,Total income,Median income (excluding zeros),units,22500.0
1196779,2007,"Québec, Quebec",Both sexes,65 years and over,Total income,Median income (excluding zeros),units,26600.0
1196854,2007,"Québec, Quebec",Males,65 years and over,Total income,Median income (excluding zeros),units,31500.0
1196929,2007,"Québec, Quebec",Females,65 years and over,Total income,Median income (excluding zeros),units,23200.0
1197004,2007,"Montréal, Quebec",Both sexes,16 years and over,Total income,Median income (excluding zeros),units,31100.0
1197079,2007,"Montréal, Quebec",Males,16 years and over,Total income,Median income (excluding zeros),units,36500.0
1197154,2007,"Montréal, Quebec",Females,16 years and over,Total income,Median income (excluding zeros),units,27100.0
1197229,2007,"Montréal, Quebec",Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,12500.0
1197304,2007,"Montréal, Quebec",Males,16 to 24 years,Total income,Median income (excluding zeros),units,12500.0
1197379,2007,"Montréal, Quebec",Females,16 to 24 years,Total income,Median income (excluding zeros),units,12500.0
1197454,2007,"Montréal, Quebec",Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,40700.0
1197529,2007,"Montréal, Quebec",Males,25 to 54 years,Total income,Median income (excluding zeros),units,45500.0
1197604,2007,"Montréal, Quebec",Females,25 to 54 years,Total income,Median income (excluding zeros),units,37300.0
1197679,2007,"Montréal, Quebec",Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,36300.0
1197754,2007,"Montréal, Quebec",Males,25 to 34 years,Total income,Median income (excluding zeros),units,37000.0
1197829,2007,"Montréal, Quebec",Females,25 to 34 years,Total income,Median income (excluding zeros),units,35600.0
1197904,2007,"Montréal, Quebec",Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,44900.0
1197979,2007,"Montréal, Quebec",Males,35 to 44 years,Total income,Median income (excluding zeros),units,49100.0
1198054,2007,"Montréal, Quebec",Females,35 to 44 years,Total income,Median income (excluding zeros),units,42300.0
1198129,2007,"Montréal, Quebec",Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,44800.0
1198204,2007,"Montréal, Quebec",Males,45 to 54 years,Total income,Median income (excluding zeros),units,52800.0
