,REF_DATE,GEO,Sex,Age group,Income source,Statistics,SCALAR_FACTOR,VALUE
18754,1976,Saskatchewan,Males,25 to 34 years,Total income,Median income (excluding zeros),units,59300.0
18829,1976,Saskatchewan,Females,25 to 34 years,Total income,Median income (excluding zeros),units,23800.0
18904,1976,Saskatchewan,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,53200.0
18979,1976,Saskatchewan,Males,35 to 44 years,Total income,Median income (excluding zeros),units,67300.0
19054,1976,Saskatchewan,Females,35 to 44 years,Total income,Median income (excluding zeros),units,17500.0
19129,1976,Saskatchewan,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,32000.0
19204,1976,Saskatchewan,Males,45 to 54 years,Total income,Median income (excluding zeros),units,52900.0
19279,1976,Saskatchewan,Females,45 to 54 years,Total income,Median income (excluding zeros),units,12900.0
19354,1976,Saskatchewan,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,30500.0
19429,1976,Saskatchewan,Males,55 to 64 years,Total income,Median income (excluding zeros),units,45700.0
19504,1976,Saskatchewan,Females,55 to 64 years,Total income,Median income (excluding zeros),units,13300.0
19579,1976,Saskatchewan,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,13700.0
19654,1976,Saskatchewan,Males,65 years and over,Total income,Median income (excluding zeros),units,16900.0
19729,1976,Saskatchewan,Females,65 years and over,Total income,Median income (excluding zeros),units,12800.0
19804,1976,Alberta,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,33300.0
19879,1976,Alberta,Males,16 years and over,Total income,Median income (excluding zeros),units,51100.0
19954,1976,Alberta,Females,16 years and over,Total income,Median income (excluding zeros),units,18000.0
20029,1976,Alberta,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,18900.0
20104,1976,Alberta,Males,16 to 24 years,Total income,Median income (excluding zeros),units,22300.0
20179,1976,Alberta,Females,16 to 24 years,Total income,Median income (excluding zeros),units,14100.0
20254,1976,Alberta,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,50500.0
20329,1976,Alberta,Males,25 to 54 years,Total income,Median income (excluding zeros),units,66900.0
20404,1976,Alberta,Females,25 to 54 years,Total income,Median income (excluding zeros),units,27500.0
20479,1976,Alberta,Both sexes,25 to 34 years,Total income,Median income (excluding zeros),units,49300.0
20554,1976,Alberta,Males,25 to 34 years,Total income,Median income (excluding zeros),units,63400.0
20629,1976,Alberta,Females,25 to 34 years,Total income,Median income (excluding zeros),units,26800.0
20704,1976,Alberta,Both sexes,35 to 44 years,Total income,Median income (excluding zeros),units,56600.0
20779,1976,Alberta,Males,35 to 44 years,Total income,Median income (excluding zeros),units,71700.0
20854,1976,Alberta,Females,35 to 44 years,Total income,Median income (excluding zeros),units,27600.0
20929,1976,Alberta,Both sexes,45 to 54 years,Total income,Median income (excluding zeros),units,47200.0
21004,1976,Alberta,Males,45 to 54 years,Total income,Median income (excluding zeros),units,70800.0
21079,1976,Alberta,Females,45 to 54 years,Total income,Median income (excluding zeros),units,29800.0
21154,1976,Alberta,Both sexes,55 to 64 years,Total income,Median income (excluding zeros),units,32800.0
21229,1976,Alberta,Males,55 to 64 years,Total income,Median income (excluding zeros),units,51500.0
21304,1976,Alberta,Females,55 to 64 years,Total income,Median income (excluding zeros),units,15300.0
21379,1976,Alberta,Both sexes,65 years and over,Total income,Median income (excluding zeros),units,14700.0
21454,1976,Alberta,Males,65 years and over,Total income,Median income (excluding zeros),units,18000.0
21529,1976,Alberta,Females,65 years and over,Total income,Median income (excluding zeros),units,13700.0
21604,1976,British Columbia,Both sexes,16 years and over,Total income,Median income (excluding zeros),units,35100.0
21679,1976,British Columbia,Males,16 years and over,Total income,Median income (excluding zeros),units,54400.0
21754,1976,British Columbia,Females,16 years and over,Total income,Median income (excluding zeros),units,19200.0
21829,1976,British Columbia,Both sexes,16 to 24 years,Total income,Median income (excluding zeros),units,21700.0
21904,1976,British Columbia,Males,16 to 24 years,Total income,Median income (excluding zeros),units,25900.0
21979,1976,British Columbia,Females,16 to 24 years,Total income,Median income (excluding zeros),units,17200.0
22054,1976,British Columbia,Both sexes,25 to 54 years,Total income,Median income (excluding zeros),units,51800.0
22129,1976,British Columbia,Males,25 to 54 years,Total income,Median income (excluding zeros),units,69100.0
