,Age,Income,Location,Sex,Year,count,cumulative_percent,percentage
153,65 years and over,>250k,Canada,Females,2016.0,11200.0,1.0,0.003514265722416936
154,All age groups,$0-<25k,"Halifax, Nova Scotia",Males,2016.0,42690.0,0.29421088904203996,0.29421088904203996
155,All age groups,$25-<50k,"Halifax, Nova Scotia",Males,2016.0,38920.0,0.5624396967608546,0.26822880771881463
156,All age groups,$50-<75k,"Halifax, Nova Scotia",Males,2016.0,29480.0,0.7656099241902137,0.20317022742935906
157,All age groups,$75-<100k,"Halifax, Nova Scotia",Males,2016.0,17720.0,0.8877325982081323,0.12212267401791868
158,All age groups,$100-<125k,"Halifax, Nova Scotia",Males,2016.0,5380.0,0.9248104755341144,0.037077877325982084
159,All age groups,$125-<150k,"Halifax, Nova Scotia",Males,2016.0,5380.0,0.9618883528600966,0.037077877325982084
160,All age groups,$150-<175k,"Halifax, Nova Scotia",Males,2016.0,1460.0,0.9719503790489319,0.010062026188835286
161,All age groups,$175-<200k,"Halifax, Nova Scotia",Males,2016.0,1460.0,0.9820124052377672,0.010062026188835286
162,All age groups,$200-225k,"Halifax, Nova Scotia",Males,2016.0,540.0,0.9857339765678844,0.0037215713301171605
163,All age groups,225-250k,"Halifax, Nova Scotia",Males,2016.0,540.0,0.9894555478980016,0.0037215713301171605
164,All age groups,>250k,"Halifax, Nova Scotia",Males,2016.0,1530.0,1.0000000000000002,0.010544452101998622
165,0 to 24 years,$0-<25k,"Halifax, Nova Scotia",Males,2016.0,12690.0,,
166,0 to 24 years,$25-<50k,"Halifax, Nova Scotia",Males,2016.0,3380.0,,
167,0 to 24 years,$50-<75k,"Halifax, Nova Scotia",Males,2016.0,700.0,,
168,0 to 24 years,$75-<100k,"Halifax, Nova Scotia",Males,2016.0,110.0,,
169,0 to 24 years,$100-<125k,"Halifax, Nova Scotia",Males,2016.0,,,
170,0 to 24 years,$125-<150k,"Halifax, Nova Scotia",Males,2016.0,,,
171,0 to 24 years,$150-<175k,"Halifax, Nova Scotia",Males,2016.0,,,
172,0 to 24 years,$175-<200k,"Halifax, Nova Scotia",Males,2016.0,,,
173,0 to 24 years,$200-225k,"Halifax, Nova Scotia",Males,2016.0,,,
174,0 to 24 years,225-250k,"Halifax, Nova Scotia",Males,2016.0,,,
175,0 to 24 years,>250k,"Halifax, Nova Scotia",Males,2016.0,0.0,,
176,25 to 34 years,$0-<25k,"Halifax, Nova Scotia",Males,2016.0,7850.0,0.30227185213708124,0.30227185213708124
177,25 to 34 years,$25-<50k,"Halifax, Nova Scotia",Males,2016.0,8350.0,0.6237966884867154,0.3215248363496342
178,25 to 34 years,$50-<75k,"Halifax, Nova Scotia",Males,2016.0,5780.0,0.8463611859838275,0.22256449749711205
179,25 to 34 years,$75-<100k,"Halifax, Nova Scotia",Males,2016.0,2890.0,0.9576434347323834,0.11128224874855602
180,25 to 34 years,$100-<125k,"Halifax, Nova Scotia",Males,2016.0,435.0,0.9743935309973045,0.016750096264921063
